Subject,Trial,HiddenColor,Display,Ratio,BeadPosition,Sequence,MajorityBeads,ProbEstimate,FinalChoice,EvidenceAsymmetry,Accuracy
011,1,green,False,60,0,"1,1,0,1,1,1,0,0",5,0.5041666666666667,green,-4.5,1
011,1,green,False,60,1,"1,1,0,1,1,1,0,0",5,0.44166666666666665,green,-4.5,1
011,1,green,False,60,2,"1,1,0,1,1,1,0,0",5,0.3666666666666667,green,-4.5,1
011,1,green,False,60,3,"1,1,0,1,1,1,0,0",5,0.41875,green,-4.5,1
011,1,green,False,60,4,"1,1,0,1,1,1,0,0",5,0.37083333333333335,green,-4.5,1
011,1,green,False,60,5,"1,1,0,1,1,1,0,0",5,0.3208333333333333,green,-4.5,1
011,1,green,False,60,6,"1,1,0,1,1,1,0,0",5,0.28125,green,-4.5,1
011,1,green,False,60,7,"1,1,0,1,1,1,0,0",5,0.34791666666666665,green,-4.5,1
011,1,green,False,60,8,"1,1,0,1,1,1,0,0",5,0.3729166666666667,green,-4.5,1
011,2,blue,False,60,0,"1,1,1,1,1,1,1,0",7,0.4979166666666667,blue,-3.5,1
011,2,blue,False,60,1,"1,1,1,1,1,1,1,0",7,0.5479166666666667,blue,-3.5,1
011,2,blue,False,60,2,"1,1,1,1,1,1,1,0",7,0.5854166666666667,blue,-3.5,1
011,2,blue,False,60,3,"1,1,1,1,1,1,1,0",7,0.6375,blue,-3.5,1
011,2,blue,False,60,4,"1,1,1,1,1,1,1,0",7,0.6666666666666666,blue,-3.5,1
011,2,blue,False,60,5,"1,1,1,1,1,1,1,0",7,0.725,blue,-3.5,1
011,2,blue,False,60,6,"1,1,1,1,1,1,1,0",7,0.7583333333333333,blue,-3.5,1
011,2,blue,False,60,7,"1,1,1,1,1,1,1,0",7,0.7791666666666667,blue,-3.5,1
011,2,blue,False,60,8,"1,1,1,1,1,1,1,0",7,0.7354166666666666,blue,-3.5,1
011,3,green,False,60,0,"0,0,1,1,1,1,1,1",6,0.4979166666666667,green,6.0,1
011,3,green,False,60,1,"0,0,1,1,1,1,1,1",6,0.55625,green,6.0,1
011,3,green,False,60,2,"0,0,1,1,1,1,1,1",6,0.5895833333333333,green,6.0,1
011,3,green,False,60,3,"0,0,1,1,1,1,1,1",6,0.5604166666666667,green,6.0,1
011,3,green,False,60,4,"0,0,1,1,1,1,1,1",6,0.5020833333333333,green,6.0,1
011,3,green,False,60,5,"0,0,1,1,1,1,1,1",6,0.4604166666666667,green,6.0,1
011,3,green,False,60,6,"0,0,1,1,1,1,1,1",6,0.42291666666666666,green,6.0,1
011,3,green,False,60,7,"0,0,1,1,1,1,1,1",6,0.38125,green,6.0,1
011,3,green,False,60,8,"0,0,1,1,1,1,1,1",6,0.325,green,6.0,1
011,4,green,False,60,0,"1,1,1,1,1,1,0,0",6,0.5,green,-6.0,1
011,4,green,False,60,1,"1,1,1,1,1,1,0,0",6,0.4604166666666667,green,-6.0,1
011,4,green,False,60,2,"1,1,1,1,1,1,0,0",6,0.42083333333333334,green,-6.0,1
011,4,green,False,60,3,"1,1,1,1,1,1,0,0",6,0.36875,green,-6.0,1
011,4,green,False,60,4,"1,1,1,1,1,1,0,0",6,0.31875,green,-6.0,1
011,4,green,False,60,5,"1,1,1,1,1,1,0,0",6,0.29166666666666663,green,-6.0,1
011,4,green,False,60,6,"1,1,1,1,1,1,0,0",6,0.26458333333333334,green,-6.0,1
011,4,green,False,60,7,"1,1,1,1,1,1,0,0",6,0.2875,green,-6.0,1
011,4,green,False,60,8,"1,1,1,1,1,1,0,0",6,0.3145833333333333,green,-6.0,1
011,5,green,False,60,0,"0,0,1,1,1,0,1,1",5,0.4979166666666667,green,4.5,1
011,5,green,False,60,1,"0,0,1,1,1,0,1,1",5,0.5416666666666666,green,4.5,1
011,5,green,False,60,2,"0,0,1,1,1,0,1,1",5,0.5729166666666666,green,4.5,1
011,5,green,False,60,3,"0,0,1,1,1,0,1,1",5,0.5333333333333333,green,4.5,1
011,5,green,False,60,4,"0,0,1,1,1,0,1,1",5,0.5020833333333333,green,4.5,1
011,5,green,False,60,5,"0,0,1,1,1,0,1,1",5,0.48125,green,4.5,1
011,5,green,False,60,6,"0,0,1,1,1,0,1,1",5,0.50625,green,4.5,1
011,5,green,False,60,7,"0,0,1,1,1,0,1,1",5,0.46458333333333335,green,4.5,1
011,5,green,False,60,8,"0,0,1,1,1,0,1,1",5,0.4395833333333333,green,4.5,1
011,6,green,False,60,0,"1,1,1,1,1,0,0,0",5,0.5583333333333333,green,-7.5,1
011,6,green,False,60,1,"1,1,1,1,1,0,0,0",5,0.46458333333333335,green,-7.5,1
011,6,green,False,60,2,"1,1,1,1,1,0,0,0",5,0.41875,green,-7.5,1
011,6,green,False,60,3,"1,1,1,1,1,0,0,0",5,0.40208333333333335,green,-7.5,1
011,6,green,False,60,4,"1,1,1,1,1,0,0,0",5,0.35833333333333334,green,-7.5,1
011,6,green,False,60,5,"1,1,1,1,1,0,0,0",5,0.3208333333333333,green,-7.5,1
011,6,green,False,60,6,"1,1,1,1,1,0,0,0",5,0.35416666666666663,green,-7.5,1
011,6,green,False,60,7,"1,1,1,1,1,0,0,0",5,0.3729166666666667,green,-7.5,1
011,6,green,False,60,8,"1,1,1,1,1,0,0,0",5,0.41875,green,-7.5,1
011,7,green,False,60,0,"0,0,1,0,1,1,1,1",5,0.4979166666666667,green,6.5,1
011,7,green,False,60,1,"0,0,1,0,1,1,1,1",5,0.5395833333333333,green,6.5,1
011,7,green,False,60,2,"0,0,1,0,1,1,1,1",5,0.5770833333333334,green,6.5,1
011,7,green,False,60,3,"0,0,1,0,1,1,1,1",5,0.5395833333333333,green,6.5,1
011,7,green,False,60,4,"0,0,1,0,1,1,1,1",5,0.5958333333333333,green,6.5,1
011,7,green,False,60,5,"0,0,1,0,1,1,1,1",5,0.55625,green,6.5,1
011,7,green,False,60,6,"0,0,1,0,1,1,1,1",5,0.5020833333333333,green,6.5,1
011,7,green,False,60,7,"0,0,1,0,1,1,1,1",5,0.47708333333333336,green,6.5,1
011,7,green,False,60,8,"0,0,1,0,1,1,1,1",5,0.4479166666666667,green,6.5,1
011,8,blue,False,60,0,"1,1,0,1,1,1,1,1",7,0.51875,blue,1.5,1
011,8,blue,False,60,1,"1,1,0,1,1,1,1,1",7,0.5375,blue,1.5,1
011,8,blue,False,60,2,"1,1,0,1,1,1,1,1",7,0.5729166666666666,blue,1.5,1
011,8,blue,False,60,3,"1,1,0,1,1,1,1,1",7,0.53125,blue,1.5,1
011,8,blue,False,60,4,"1,1,0,1,1,1,1,1",7,0.5604166666666667,blue,1.5,1
011,8,blue,False,60,5,"1,1,0,1,1,1,1,1",7,0.63125,blue,1.5,1
011,8,blue,False,60,6,"1,1,0,1,1,1,1,1",7,0.6875,blue,1.5,1
011,8,blue,False,60,7,"1,1,0,1,1,1,1,1",7,0.7145833333333333,blue,1.5,1
011,8,blue,False,60,8,"1,1,0,1,1,1,1,1",7,0.7854166666666667,blue,1.5,1
011,9,green,False,90,0,"1,1,1,1,1,1,1,1",8,0.4979166666666667,green,0.0,1
011,9,green,False,90,1,"1,1,1,1,1,1,1,1",8,0.36041666666666666,green,0.0,1
011,9,green,False,90,2,"1,1,1,1,1,1,1,1",8,0.26666666666666666,green,0.0,1
011,9,green,False,90,3,"1,1,1,1,1,1,1,1",8,0.18958333333333333,green,0.0,1
011,9,green,False,90,4,"1,1,1,1,1,1,1,1",8,0.13124999999999998,green,0.0,1
011,9,green,False,90,5,"1,1,1,1,1,1,1,1",8,0.07500000000000001,green,0.0,1
011,9,green,False,90,6,"1,1,1,1,1,1,1,1",8,0.01874999999999999,green,0.0,1
011,9,green,False,90,7,"1,1,1,1,1,1,1,1",8,0.010416666666666685,green,0.0,1
011,9,green,False,90,8,"1,1,1,1,1,1,1,1",8,0.0,green,0.0,1
011,10,blue,False,90,0,"1,1,0,1,1,1,1,1",7,0.5020833333333333,blue,1.5,1
011,10,blue,False,90,1,"1,1,0,1,1,1,1,1",7,0.625,blue,1.5,1
011,10,blue,False,90,2,"1,1,0,1,1,1,1,1",7,0.7166666666666667,blue,1.5,1
011,10,blue,False,90,3,"1,1,0,1,1,1,1,1",7,0.6166666666666667,blue,1.5,1
011,10,blue,False,90,4,"1,1,0,1,1,1,1,1",7,0.7145833333333333,blue,1.5,1
011,10,blue,False,90,5,"1,1,0,1,1,1,1,1",7,0.83125,blue,1.5,1
011,10,blue,False,90,6,"1,1,0,1,1,1,1,1",7,0.9229166666666666,blue,1.5,1
011,10,blue,False,90,7,"1,1,0,1,1,1,1,1",7,0.9791666666666667,blue,1.5,1
011,10,blue,False,90,8,"1,1,0,1,1,1,1,1",7,0.9895833333333333,blue,1.5,1
011,11,blue,False,90,0,"1,1,1,1,1,1,1,1",8,0.4979166666666667,blue,0.0,1
011,11,blue,False,90,1,"1,1,1,1,1,1,1,1",8,0.6125,blue,0.0,1
011,11,blue,False,90,2,"1,1,1,1,1,1,1,1",8,0.7270833333333333,blue,0.0,1
011,11,blue,False,90,3,"1,1,1,1,1,1,1,1",8,0.8145833333333333,blue,0.0,1
011,11,blue,False,90,4,"1,1,1,1,1,1,1,1",8,0.9208333333333334,blue,0.0,1
011,11,blue,False,90,5,"1,1,1,1,1,1,1,1",8,0.9604166666666667,blue,0.0,1
011,11,blue,False,90,6,"1,1,1,1,1,1,1,1",8,0.98125,blue,0.0,1
011,11,blue,False,90,7,"1,1,1,1,1,1,1,1",8,0.9875,blue,0.0,1
011,11,blue,False,90,8,"1,1,1,1,1,1,1,1",8,1.0,blue,0.0,1
011,12,blue,False,90,0,"1,1,1,1,1,1,1,1",8,0.5,blue,0.0,1
